company,battalion,m4_qual_category,m4_score,BrigadeName,grade_unmapped,fms_grade_type,primary_specialty_code,billet_specialty,designation_of_duties_performed,asi_and_sqi,time_in_active_service_years,age_bracket,sex,height,weight,height_weight_pass,body_fat_percent,aft_pass,aft_score_total,aft_score_plank,aft_score_push_up,aft_score_sprint_drag_carry,aft_score_2mi_run,aft_score_alt_aerobic,aft_raw_plank,aft_raw_plank_seconds,aft_raw_deadlift,aft_deadlift_score,aft_raw_push_up,aft_raw_sprint_drag_carry,aft_raw_2mi_run,aft_raw_sprint_drag_carry_seconds,aft_raw_2mi_run_seconds,aft_raw_alt_aerobic
B,2nd Battalion,Marksman,21,173rd Airborne Brigade,E3,Enlisted,88M,88M,Admin,P,22.2,41+,M,68,167,TRUE,24.6,FALSE,330,70,45,70,80,NA,2:02,122,211,65,15,2:26,15:21,145.7,921,NA
C,1st Battalion,Sharpshooter,30,173rd Airborne Brigade,E5,Enlisted,88M,88M,Team Leader,,21.7,41+,M,73,198,TRUE,18,TRUE,375,80,70,60,80,NA,2:47,167,291,85,36,2:40,15:44,160.5,944,NA
A,2nd Battalion,Unqualified,9,173rd Airborne Brigade,E4,Enlisted,11B,11B,Squad Leader,C8,18.2,36-40,F,68,117,TRUE,26.5,FALSE,363,53,100,70,80,NA,1:20,80,183,60,64,2:22,14:07,141.6,847,NA
B,1st Battalion,Sharpshooter,30,173rd Airborne Brigade,E7,Enlisted,13B,13B,Rifleman,,2.5,22-25,M,66,205,TRUE,21.5,TRUE,400,90,100,60,80,NA,3:05,185,222,70,66,2:41,15:36,160.8,936,NA
HHC,2nd Battalion,Sharpshooter,30,173rd Airborne Brigade,E2,Enlisted,42A,42A,Admin,,7.1,26-30,M,67,171,FALSE,35,TRUE,415,80,70,80,90,NA,2:37,157,328,95,31,1:54,13:25,113.5,805,NA
B,3rd Battalion,Expert,35,173rd Airborne Brigade,E7,Enlisted,42A,42A,Platoon Sergeant,,16.8,36-40,M,66,183,TRUE,10.1,TRUE,375,90,60,70,90,NA,3:16,196,219,65,28,2:25,13:03,145.3,783,NA
D,3rd Battalion,Expert,38,173rd Airborne Brigade,O2,Officer,68W,68W,Platoon Sergeant,,12.8,31-35,M,67,171,TRUE,20.5,TRUE,375,90,70,80,70,NA,3:04,184,212,65,37,1:60,17:28,119.8,1048,NA
C,1st Battalion,Unqualified,9,173rd Airborne Brigade,E6,Enlisted,35F,35F,Squad Leader,,14.3,31-35,M,75,183,TRUE,14.3,FALSE,340,80,70,60,70,NA,2:56,176,198,60,39,2:41,16:01,160.9,961,NA
D,1st Battalion,Unqualified,16,173rd Airborne Brigade,O4,Officer,35F,35F,Supply Specialist,C8,19.6,36-40,F,65,127,TRUE,29.5,TRUE,360,70,80,60,70,NA,2:19,139,272,80,46,2:51,16:19,170.8,979,NA
B,3rd Battalion,Expert,36,173rd Airborne Brigade,E6,Enlisted,92Y,92Y,Medic,,17.1,36-40,M,71,187,TRUE,18.2,TRUE,405,70,80,90,70,NA,2:28,148,326,95,42,1:49,17:23,109.2,1043,NA
A,2nd Battalion,Expert,38,173rd Airborne Brigade,E8,Enlisted,88M,88M,Gunner,R,0.3,18-21,M,72,198,TRUE,21.1,TRUE,375,80,60,70,70,NA,2:35,155,329,95,20,2:29,16:16,149.3,976,NA
D,2nd Battalion,Sharpshooter,31,173rd Airborne Brigade,E7,Enlisted,25B,25B,Team Leader,,1,18-21,M,68,207,TRUE,12.4,TRUE,380,70,80,70,80,NA,2:20,140,271,80,48,2:24,14:49,144,889,NA
D,1st Battalion,Marksman,23,173rd Airborne Brigade,W2,Warrant,11C,11C,Supply Specialist,,2.3,22-25,M,67,199,TRUE,24.3,TRUE,375,70,90,70,70,NA,2:01,121,252,75,54,2:25,16:22,145,982,NA
A,1st Battalion,Expert,34,173rd Airborne Brigade,E4,Enlisted,88M,88M,Platoon Sergeant,C8,15.6,36-40,M,77,146,TRUE,13.2,FALSE,371,70,100,80,56,NA,2:07,127,217,65,70,2:02,20:18,122.3,1218,NA
HHC,3rd Battalion,Sharpshooter,27,173rd Airborne Brigade,O3,Officer,11B,11B,Supply Specialist,R,5.8,26-30,M,70,182,TRUE,24.1,TRUE,365,80,70,60,70,NA,2:55,175,280,85,39,2:48,17:01,167.8,1021,NA
B,3rd Battalion,Sharpshooter,29,173rd Airborne Brigade,E4,Enlisted,88M,88M,Driver,B4,12.2,31-35,M,73,162,TRUE,13.1,TRUE,395,90,70,80,80,NA,3:11,191,244,75,37,2:08,14:45,128.5,885,NA
B,2nd Battalion,Unqualified,9,173rd Airborne Brigade,E6,Enlisted,13B,13B,Gunner,,23.4,41+,M,68,232,TRUE,18.3,TRUE,375,60,80,60,80,NA,1:49,109,324,95,44,2:39,15:46,159.4,946,NA
HHC,2nd Battalion,Sharpshooter,31,173rd Airborne Brigade,E5,Enlisted,25U,25U,Supply Specialist,T,17.6,36-40,M,70,152,TRUE,24.4,TRUE,380,80,80,70,80,NA,2:56,176,238,70,43,2:16,14:04,136.3,844,NA
B,3rd Battalion,Sharpshooter,31,173rd Airborne Brigade,E7,Enlisted,68W,68W,Squad Leader,,3.8,22-25,M,73,186,TRUE,18.6,TRUE,360,60,70,70,80,NA,1:56,116,274,80,31,2:30,14:02,149.6,842,NA
D,3rd Battalion,Marksman,27,173rd Airborne Brigade,E8,Enlisted,92Y,92Y,Rifleman,R,22.7,41+,M,65,189,TRUE,20.4,TRUE,380,90,70,60,70,NA,3:24,204,312,90,33,2:33,16:16,152.6,976,NA
C,3rd Battalion,Expert,35,173rd Airborne Brigade,O4,Officer,11B,11B,Team Leader,C8,6.4,26-30,M,69,149,FALSE,27,TRUE,370,60,80,70,90,NA,1:46,106,235,70,47,2:23,13:46,143,826,NA
B,1st Battalion,Marksman,22,173rd Airborne Brigade,E3,Enlisted,92Y,92Y,Rifleman,C8,20.4,41+,M,71,183,TRUE,23.1,TRUE,425,80,80,70,100,NA,2:51,171,335,95,48,2:28,12:28,147.8,748,NA
B,2nd Battalion,Sharpshooter,33,173rd Airborne Brigade,E6,Enlisted,88M,88M,Medic,P,2.8,22-25,F,66,119,TRUE,21.1,TRUE,365,80,70,60,80,NA,2:47,167,254,75,39,2:37,15:42,157.3,942,NA
B,1st Battalion,Sharpshooter,26,173rd Airborne Brigade,E3,Enlisted,35F,35F,Platoon Sergeant,,20,41+,M,72,236,TRUE,13.2,TRUE,395,70,90,80,70,NA,2:04,124,291,85,54,2:01,17:06,121.3,1026,NA
B,2nd Battalion,Marksman,25,173rd Airborne Brigade,E4,Enlisted,19D,19D,Admin,T,0.6,18-21,M,70,133,TRUE,10,TRUE,415,70,90,90,80,NA,2:23,143,290,85,54,1:42,14:25,102.2,865,NA
A,1st Battalion,Unqualified,11,173rd Airborne Brigade,E3,Enlisted,42A,42A,Supply Specialist,T,3.5,22-25,M,66,137,TRUE,13.5,FALSE,354,59,80,70,70,NA,1:28,88,251,75,47,2:12,16:17,131.7,977,NA
C,2nd Battalion,Marksman,23,173rd Airborne Brigade,E6,Enlisted,68W,68W,Medic,,22.3,41+,M,75,114,TRUE,14,TRUE,365,70,70,70,70,NA,2:14,134,297,85,38,2:13,17:21,133.2,1041,NA
D,3rd Battalion,Expert,37,173rd Airborne Brigade,E6,Enlisted,13B,13B,Driver,R,17.7,36-40,M,73,204,TRUE,20.2,FALSE,336,70,90,31,70,NA,2:08,128,254,75,51,3:19,17:04,199.4,1024,NA
C,3rd Battalion,Unqualified,11,173rd Airborne Brigade,E5,Enlisted,92Y,92Y,Admin,,17.3,36-40,M,68,214,TRUE,14.7,TRUE,390,90,80,60,100,NA,3:51,231,182,60,41,2:30,12:13,150.3,733,NA
B,3rd Battalion,Sharpshooter,30,173rd Airborne Brigade,E7,Enlisted,13B,13B,Driver,,23.4,41+,M,69,175,TRUE,19.7,TRUE,400,80,70,90,80,NA,2:45,165,271,80,37,1:50,14:02,110,842,NA
HHC,2nd Battalion,Sharpshooter,27,173rd Airborne Brigade,E3,Enlisted,31B,31B,Driver,,16.7,36-40,M,73,172,TRUE,18.4,TRUE,400,80,70,90,80,NA,2:34,154,275,80,37,1:46,14:20,106.5,860,NA
D,3rd Battalion,Marksman,28,173rd Airborne Brigade,E3,Enlisted,11B,11B,Team Leader,,22.5,41+,M,64,174,TRUE,19.9,TRUE,430,90,90,90,80,62,3:12,192,279,80,57,1:50,14:47,109.7,887,21:00
C,3rd Battalion,Unqualified,14,173rd Airborne Brigade,E1,Enlisted,11B,11B,Squad Leader,,14.4,31-35,F,62,127,TRUE,30.2,TRUE,395,70,90,70,80,NA,2:16,136,282,85,52,2:23,15:31,142.9,931,NA
HHC,1st Battalion,Sharpshooter,31,173rd Airborne Brigade,E1,Enlisted,31B,31B,Admin,B4,20.5,41+,M,68,215,TRUE,18.5,TRUE,400,70,90,70,80,NA,2:14,134,301,90,57,2:10,15:07,130.5,907,NA
B,1st Battalion,Expert,37,173rd Airborne Brigade,E5,Enlisted,11C,11C,Gunner,C8,13.6,31-35,M,67,206,TRUE,12.4,TRUE,365,90,60,60,70,NA,3:08,188,282,85,25,2:31,17:12,151.1,1032,NA
C,1st Battalion,Expert,37,173rd Airborne Brigade,E8,Enlisted,68W,68W,Medic,P,17.6,36-40,M,71,132,TRUE,22,FALSE,340,70,80,60,70,NA,2:19,139,193,60,44,2:31,16:57,151.4,1017,NA
B,2nd Battalion,Sharpshooter,31,173rd Airborne Brigade,E7,Enlisted,68W,68W,Gunner,S,19,36-40,M,70,233,TRUE,22.9,TRUE,385,80,70,60,100,NA,2:47,167,254,75,35,2:42,11:13,161.5,673,NA
B,1st Battalion,Sharpshooter,31,173rd Airborne Brigade,E1,Enlisted,13B,13B,Platoon Sergeant,,24.2,41+,M,65,188,TRUE,14,TRUE,360,70,80,60,80,63,2:17,137,230,70,43,2:31,14:55,151.3,895,24:30
HHC,1st Battalion,Marksman,23,173rd Airborne Brigade,E1,Enlisted,92Y,92Y,Supply Specialist,,4,22-25,M,70,174,TRUE,11.3,TRUE,365,90,80,70,60,NA,3:40,220,217,65,40,2:26,18:06,145.8,1086,NA
B,2nd Battalion,Sharpshooter,32,173rd Airborne Brigade,E6,Enlisted,88M,88M,Platoon Sergeant,P,0.3,18-21,M,71,165,TRUE,24,TRUE,385,90,70,80,60,NA,3:09,189,280,85,34,1:58,19:18,118.4,1158,NA
D,3rd Battalion,Marksman,21,173rd Airborne Brigade,E7,Enlisted,92Y,92Y,Gunner,,2.1,22-25,M,69,144,TRUE,23.3,TRUE,430,90,80,70,100,NA,3:01,181,313,90,42,2:20,12:22,139.5,742,NA
A,3rd Battalion,Marksman,24,173rd Airborne Brigade,O1,Officer,42A,42A,Rifleman,,7.5,26-30,F,65,156,TRUE,35,TRUE,385,80,60,80,80,NA,2:43,163,282,85,28,2:02,15:13,122.3,913,NA
D,3rd Battalion,Sharpshooter,29,173rd Airborne Brigade,E5,Enlisted,68W,68W,Squad Leader,,13.4,31-35,M,66,179,TRUE,17.7,TRUE,370,90,60,70,70,NA,3:08,188,260,80,25,2:22,17:25,142.1,1045,NA
D,1st Battalion,Sharpshooter,29,173rd Airborne Brigade,E6,Enlisted,42A,42A,Squad Leader,,5.1,26-30,F,67,180,TRUE,26.1,FALSE,320,40,60,70,90,NA,1:00,60,186,60,23,2:20,13:27,140.1,807,NA
C,2nd Battalion,Sharpshooter,31,173rd Airborne Brigade,E7,Enlisted,13B,13B,Gunner,B4,12.5,31-35,M,68,211,TRUE,22.6,FALSE,350,60,100,70,60,NA,1:53,113,180,60,68,2:29,18:06,148.8,1086,NA
A,3rd Battalion,Sharpshooter,30,173rd Airborne Brigade,E6,Enlisted,35F,35F,Squad Leader,P,2.8,22-25,M,67,202,TRUE,11.1,FALSE,350,70,80,60,80,NA,2:03,123,185,60,44,2:45,15:44,164.6,944,NA
C,3rd Battalion,Expert,36,173rd Airborne Brigade,E1,Enlisted,19D,19D,Rifleman,S,7,26-30,M,73,160,TRUE,13,TRUE,390,70,80,70,80,61,2:23,143,314,90,45,2:23,14:42,143.2,882,24:30
HHC,2nd Battalion,Marksman,24,173rd Airborne Brigade,E6,Enlisted,11C,11C,Driver,,9.7,26-30,M,69,149,TRUE,17.3,TRUE,415,70,100,80,100,NA,2:23,143,205,65,63,2:08,12:30,127.6,750,NA
C,2nd Battalion,Marksman,24,173rd Airborne Brigade,E5,Enlisted,88M,88M,Admin,,14.5,31-35,M,70,185,TRUE,17.6,FALSE,355,70,80,60,70,NA,2:17,137,240,75,48,2:43,16:33,162.9,993,NA
C,3rd Battalion,Sharpshooter,32,173rd Airborne Brigade,E2,Enlisted,25U,25U,Admin,,22.4,41+,M,75,140,TRUE,21.5,TRUE,415,90,80,90,90,62,3:16,196,203,65,46,1:48,13:49,107.5,829,18:30
D,3rd Battalion,Expert,35,173rd Airborne Brigade,E3,Enlisted,68W,68W,Medic,,13.8,31-35,M,72,175,TRUE,11.6,FALSE,327,60,70,70,80,NA,1:43,103,140,47,31,2:29,15:08,148.8,908,NA
A,2nd Battalion,Sharpshooter,31,173rd Airborne Brigade,E5,Enlisted,68W,68W,Gunner,P,13.8,31-35,M,74,141,TRUE,14.9,TRUE,430,90,90,80,80,NA,3:08,188,312,90,52,1:56,14:10,115.8,850,NA
B,2nd Battalion,Sharpshooter,29,173rd Airborne Brigade,E6,Enlisted,35F,35F,Rifleman,,1.4,18-21,M,74,177,FALSE,30.9,FALSE,360,45,90,80,70,NA,1:08,68,255,75,50,1:60,16:28,119.9,988,NA
D,3rd Battalion,Unqualified,16,173rd Airborne Brigade,E5,Enlisted,92Y,92Y,Admin,,1.2,18-21,M,65,149,TRUE,20.3,TRUE,400,90,80,80,70,NA,3:20,200,266,80,48,1:56,16:10,115.7,970,NA
A,2nd Battalion,Marksman,23,173rd Airborne Brigade,E3,Enlisted,42A,42A,Rifleman,,17.7,36-40,M,70,193,TRUE,19.1,TRUE,380,70,80,80,80,NA,2:03,123,231,70,44,1:51,14:50,111.1,890,NA
D,2nd Battalion,Expert,36,173rd Airborne Brigade,E9,Enlisted,13B,13B,Admin,,6,26-30,F,69,181,TRUE,23.8,TRUE,380,80,80,60,70,NA,2:41,161,315,90,48,2:44,16:06,164.4,966,NA
HHC,3rd Battalion,Unqualified,18,173rd Airborne Brigade,E4,Enlisted,31B,31B,Supply Specialist,P,9.9,26-30,M,69,245,TRUE,13.7,FALSE,341,90,36,60,70,79,3:11,191,295,85,12,2:45,17:38,165.3,1058,24:30
C,2nd Battalion,Sharpshooter,28,173rd Airborne Brigade,E4,Enlisted,42A,42A,Squad Leader,,2.6,22-25,M,67,186,TRUE,19.5,TRUE,395,70,100,90,70,NA,2:08,128,217,65,64,1:41,18:00,100.6,1080,NA
A,2nd Battalion,Expert,30,173rd Airborne Brigade,E6,Enlisted,68W,68W,Driver,B4,3.6,22-25,F,62,132,TRUE,35,TRUE,380,70,90,60,70,NA,2:03,123,308,90,52,2:46,17:04,166.3,1024,NA
D,1st Battalion,Expert,35,173rd Airborne Brigade,O2,Officer,25B,25B,Rifleman,P,18.3,36-40,F,71,137,TRUE,25.6,TRUE,400,80,60,100,60,98,2:38,158,340,100,24,1:26,18:58,86,1138,24:30
A,2nd Battalion,Marksman,23,173rd Airborne Brigade,E5,Enlisted,25U,25U,Team Leader,T,10.7,31-35,M,73,166,TRUE,17.8,TRUE,380,80,80,80,80,NA,2:36,156,190,60,45,2:07,15:23,126.7,923,NA
D,3rd Battalion,Expert,40,173rd Airborne Brigade,E4,Enlisted,11C,11C,Rifleman,,21.9,41+,M,75,192,TRUE,18,TRUE,370,90,70,70,60,NA,3:18,198,273,80,33,2:14,18:20,133.7,1100,NA
A,3rd Battalion,Sharpshooter,32,173rd Airborne Brigade,E7,Enlisted,13B,13B,Platoon Sergeant,P,7.1,26-30,M,71,193,TRUE,17.9,FALSE,371,90,80,80,70,NA,3:21,201,154,51,46,2:10,16:13,129.9,973,NA
B,2nd Battalion,Sharpshooter,28,173rd Airborne Brigade,W1,Warrant,88M,88M,Medic,,17.4,36-40,M,75,168,TRUE,9.7,FALSE,345,70,70,80,60,NA,2:00,120,210,65,39,1:60,20:01,119.6,1201,NA
C,2nd Battalion,Sharpshooter,30,173rd Airborne Brigade,E5,Enlisted,42A,42A,Admin,,15.1,36-40,M,73,174,TRUE,21.8,FALSE,345,70,80,60,60,NA,2:06,126,255,75,47,2:56,18:15,176.5,1095,NA
HHC,3rd Battalion,Sharpshooter,27,173rd Airborne Brigade,E3,Enlisted,88M,88M,Platoon Sergeant,S,15.8,36-40,M,75,211,TRUE,19.7,TRUE,385,60,80,90,80,NA,1:52,112,242,75,42,1:40,14:21,100.5,861,NA
B,1st Battalion,Marksman,20,173rd Airborne Brigade,E3,Enlisted,42A,42A,Squad Leader,V,11.8,31-35,M,68,198,TRUE,22.4,TRUE,360,70,80,80,60,NA,2:13,133,224,70,45,2:09,18:07,129.3,1087,NA
A,2nd Battalion,Expert,32,173rd Airborne Brigade,O3,Officer,25B,25B,Driver,,3.8,22-25,F,68,163,TRUE,28.8,TRUE,395,70,90,60,90,NA,2:18,138,290,85,54,2:42,13:37,162.3,817,NA
HHC,3rd Battalion,Expert,39,173rd Airborne Brigade,E6,Enlisted,42A,42A,Medic,C8,13,31-35,M,68,147,TRUE,12.2,FALSE,345,60,70,80,60,NA,1:38,98,249,75,37,2:07,19:09,127.1,1149,NA
C,2nd Battalion,Marksman,22,173rd Airborne Brigade,E6,Enlisted,25B,25B,Supply Specialist,,23.4,41+,M,70,208,TRUE,22.2,TRUE,365,80,60,60,70,NA,2:41,161,335,95,28,2:39,16:44,158.6,1004,NA
B,1st Battalion,Expert,36,173rd Airborne Brigade,E6,Enlisted,13B,13B,Gunner,P,7.6,26-30,M,68,165,TRUE,11,FALSE,376,56,90,70,90,NA,1:24,84,223,70,50,2:11,13:50,131.2,830,NA
HHC,2nd Battalion,Sharpshooter,28,173rd Airborne Brigade,E5,Enlisted,13B,13B,Driver,,10.6,31-35,M,67,202,TRUE,12.5,TRUE,385,70,90,70,80,NA,2:14,134,254,75,53,2:26,15:36,145.7,936,NA
B,2nd Battalion,Sharpshooter,31,173rd Airborne Brigade,E4,Enlisted,11C,11C,Squad Leader,,15.1,36-40,M,66,168,TRUE,17.9,TRUE,385,80,80,60,70,NA,2:31,151,337,95,45,2:36,17:12,155.8,1032,NA
D,3rd Battalion,Marksman,24,173rd Airborne Brigade,E2,Enlisted,11B,11B,Team Leader,T,19.1,36-40,M,72,162,TRUE,14.1,TRUE,370,70,100,60,70,NA,2:15,135,221,70,61,2:38,17:12,157.8,1032,NA
A,1st Battalion,Expert,34,173rd Airborne Brigade,E7,Enlisted,25B,25B,Supply Specialist,,16.9,36-40,M,67,219,TRUE,12.2,FALSE,359,80,80,70,70,NA,2:56,176,178,59,45,2:17,16:11,137,971,NA
C,2nd Battalion,Sharpshooter,28,173rd Airborne Brigade,E6,Enlisted,88M,88M,Medic,,0.5,18-21,M,66,169,TRUE,17.5,FALSE,330,80,70,60,60,NA,2:40,160,191,60,37,2:32,18:26,151.6,1106,NA
D,1st Battalion,Sharpshooter,31,173rd Airborne Brigade,E3,Enlisted,35F,35F,Gunner,S,6.5,26-30,M,68,197,TRUE,12.4,FALSE,341,60,80,80,70,NA,1:55,115,153,51,41,2:05,16:55,124.8,1015,NA
B,1st Battalion,Unqualified,18,173rd Airborne Brigade,E2,Enlisted,68W,68W,Supply Specialist,R,15.5,36-40,M,67,173,FALSE,26.4,FALSE,350,60,80,70,80,NA,1:32,92,199,60,45,2:21,15:44,140.7,944,NA
C,3rd Battalion,Sharpshooter,30,173rd Airborne Brigade,E3,Enlisted,13B,13B,Gunner,,0.3,18-21,M,74,192,TRUE,5.3,FALSE,341,51,80,70,70,NA,1:16,76,231,70,49,2:14,16:10,133.8,970,NA
A,2nd Battalion,Marksman,26,173rd Airborne Brigade,E6,Enlisted,11C,11C,Team Leader,,18.6,36-40,M,72,207,TRUE,15.6,TRUE,390,90,80,70,70,NA,3:06,186,260,80,41,2:29,16:01,148.8,961,NA
A,1st Battalion,Unqualified,17,173rd Airborne Brigade,E8,Enlisted,35F,35F,Rifleman,T,11,31-35,M,65,184,FALSE,27.6,TRUE,375,60,80,70,80,NA,1:51,111,281,85,44,2:24,15:48,143.7,948,NA
D,1st Battalion,Sharpshooter,34,173rd Airborne Brigade,O2,Officer,11C,11C,Medic,,24.5,41+,M,71,151,TRUE,14.3,TRUE,370,90,80,60,80,NA,3:20,200,194,60,41,2:51,14:17,171.1,857,NA
B,3rd Battalion,Sharpshooter,30,173rd Airborne Brigade,E7,Enlisted,25B,25B,Squad Leader,T,18,36-40,M,68,208,TRUE,24.7,TRUE,360,80,70,60,70,NA,2:31,151,279,80,38,2:36,16:40,155.9,1000,NA
HHC,1st Battalion,Expert,36,173rd Airborne Brigade,E1,Enlisted,11B,11B,Driver,P,9.8,26-30,M,69,172,TRUE,14.9,TRUE,415,90,100,60,90,NA,3:01,181,255,75,60,2:30,13:39,150.3,819,NA
D,2nd Battalion,Sharpshooter,30,173rd Airborne Brigade,E9,Enlisted,92Y,92Y,Gunner,,24.8,41+,M,69,197,TRUE,9.7,FALSE,386,56,90,70,80,NA,1:24,84,303,90,56,2:18,15:18,138.3,918,NA
C,3rd Battalion,Sharpshooter,30,173rd Airborne Brigade,E5,Enlisted,11C,11C,Gunner,C8,4.9,22-25,M,74,155,TRUE,18.2,TRUE,380,60,80,70,80,NA,1:46,106,311,90,40,2:19,16:00,139.4,960,NA
A,3rd Battalion,Sharpshooter,33,173rd Airborne Brigade,E6,Enlisted,25U,25U,Driver,,20.7,41+,F,67,157,TRUE,30.5,FALSE,340,80,80,60,60,NA,2:50,170,189,60,47,2:45,19:39,165,1179,NA
C,2nd Battalion,Sharpshooter,28,173rd Airborne Brigade,E6,Enlisted,68W,68W,Gunner,,24.2,41+,M,68,195,TRUE,22.6,TRUE,370,70,80,70,70,NA,2:12,132,262,80,47,2:15,16:06,135.2,966,NA
HHC,3rd Battalion,Sharpshooter,29,173rd Airborne Brigade,E1,Enlisted,13B,13B,Rifleman,V,0.6,18-21,M,78,188,TRUE,21.7,FALSE,355,70,80,70,70,NA,2:18,138,204,65,41,2:18,16:08,137.9,968,NA
HHC,2nd Battalion,Expert,37,173rd Airborne Brigade,E9,Enlisted,35F,35F,Gunner,,1.7,18-21,M,69,168,TRUE,9.6,FALSE,345,60,60,80,80,NA,1:34,94,202,65,23,2:07,14:26,127.1,866,NA
B,3rd Battalion,Sharpshooter,30,173rd Airborne Brigade,E4,Enlisted,11B,11B,Squad Leader,C8,23.3,41+,M,69,134,TRUE,19.3,TRUE,420,70,100,70,80,NA,2:02,122,340,100,66,2:25,14:53,145.3,893,NA
A,1st Battalion,Sharpshooter,28,173rd Airborne Brigade,E6,Enlisted,13B,13B,Team Leader,R,14.8,31-35,F,65,121,TRUE,23.1,TRUE,395,90,90,70,70,NA,3:10,190,247,75,59,2:20,17:09,140.2,1029,NA
C,3rd Battalion,Marksman,19,173rd Airborne Brigade,E7,Enlisted,35F,35F,Rifleman,,24.8,41+,M,71,195,TRUE,17.4,TRUE,360,70,70,80,80,73,2:28,148,193,60,39,2:08,14:34,127.9,874,21:00
D,3rd Battalion,Marksman,26,173rd Airborne Brigade,E8,Enlisted,42A,42A,Medic,,11.2,31-35,M,70,163,TRUE,21.6,TRUE,380,70,60,80,70,NA,2:25,145,340,100,24,2:05,16:38,124.7,998,NA
B,1st Battalion,Sharpshooter,31,173rd Airborne Brigade,E5,Enlisted,19D,19D,Team Leader,V,23.4,41+,M,75,170,TRUE,10.8,TRUE,385,90,70,60,100,NA,3:59,239,200,65,31,2:48,12:06,167.5,726,NA
C,2nd Battalion,Marksman,26,173rd Airborne Brigade,E8,Enlisted,13B,13B,Squad Leader,,2.1,22-25,M,67,172,TRUE,23.3,TRUE,380,80,90,60,60,NA,2:50,170,306,90,50,2:55,18:13,175.1,1093,NA
HHC,1st Battalion,Marksman,24,173rd Airborne Brigade,E3,Enlisted,13B,13B,Supply Specialist,B4,17.1,36-40,M,70,205,TRUE,18.4,TRUE,380,90,70,80,70,NA,3:11,191,237,70,38,2:05,16:17,125,977,NA
D,2nd Battalion,Expert,34,173rd Airborne Brigade,E6,Enlisted,13B,13B,Supply Specialist,P,6,26-30,M,72,183,TRUE,15.7,FALSE,355,70,80,60,80,NA,2:27,147,215,65,40,2:32,15:58,152.1,958,NA
B,3rd Battalion,Unqualified,8,173rd Airborne Brigade,E5,Enlisted,31B,31B,Medic,,3.6,22-25,M,67,220,TRUE,9.8,TRUE,400,90,70,70,90,NA,3:06,186,265,80,30,2:16,13:52,136.1,832,NA
B,2nd Battalion,Sharpshooter,31,173rd Airborne Brigade,E2,Enlisted,35F,35F,Platoon Sergeant,P,24.8,41+,M,70,176,TRUE,20.3,TRUE,390,60,80,60,90,NA,1:35,95,340,100,48,2:35,13:13,155.2,793,NA
A,3rd Battalion,Expert,38,173rd Airborne Brigade,O2,Officer,25U,25U,Team Leader,P,6.5,26-30,M,70,199,TRUE,11.4,TRUE,400,70,90,80,80,NA,2:28,148,277,80,56,2:09,14:48,129.4,888,NA
D,1st Battalion,Marksman,20,173rd Airborne Brigade,E5,Enlisted,35F,35F,Squad Leader,,16.1,36-40,M,72,138,TRUE,18.9,FALSE,359,49,80,70,70,NA,1:13,73,307,90,49,2:23,17:14,143.1,1034,NA
C,1st Battalion,Expert,37,173rd Airborne Brigade,E4,Enlisted,31B,31B,Medic,T,9.7,26-30,M,66,168,TRUE,9.8,FALSE,349,59,80,80,70,NA,1:29,89,192,60,43,1:51,17:19,111.3,1039,NA
A,1st Battalion,Expert,36,173rd Airborne Brigade,E3,Enlisted,35F,35F,Team Leader,,5.1,26-30,F,63,143,TRUE,17.7,TRUE,380,90,80,60,70,NA,3:13,193,278,80,45,2:43,16:02,162.7,962,NA
B,2nd Battalion,Sharpshooter,25,173rd Airborne Brigade,O3,Officer,25U,25U,Driver,,20.7,41+,M,73,202,FALSE,26.9,TRUE,360,60,80,70,70,NA,1:57,117,261,80,45,2:30,17:25,149.9,1045,NA
C,2nd Battalion,Unqualified,10,173rd Airborne Brigade,O4,Officer,88M,88M,Platoon Sergeant,S,2.6,22-25,M,72,193,TRUE,10.7,FALSE,378,90,80,70,80,NA,3:21,201,173,58,45,2:19,14:47,139.3,887,NA
A,2nd Battalion,Marksman,24,173rd Airborne Brigade,E4,Enlisted,25U,25U,Driver,,5.6,26-30,M,71,195,TRUE,12.8,TRUE,395,90,80,60,80,NA,3:02,182,285,85,47,2:35,15:09,154.9,909,NA
D,2nd Battalion,Marksman,27,173rd Airborne Brigade,E6,Enlisted,42A,42A,Medic,,10.9,31-35,M,70,166,TRUE,18.6,TRUE,370,80,80,70,70,NA,2:49,169,232,70,40,2:24,16:24,143.5,984,NA
D,1st Battalion,Expert,36,173rd Airborne Brigade,E4,Enlisted,31B,31B,Team Leader,,7.1,26-30,M,70,177,TRUE,21.2,TRUE,360,80,80,60,60,NA,2:33,153,263,80,49,2:50,18:25,170.3,1105,NA
A,3rd Battalion,Unqualified,18,173rd Airborne Brigade,E8,Enlisted,68W,68W,Squad Leader,,12.2,31-35,F,65,173,TRUE,35,TRUE,410,90,80,80,90,NA,3:42,222,230,70,40,1:58,13:09,118.5,789,NA
A,2nd Battalion,Sharpshooter,29,173rd Airborne Brigade,E3,Enlisted,13B,13B,Admin,,4.5,22-25,F,67,136,TRUE,22.9,TRUE,365,70,90,70,70,NA,2:17,137,201,65,52,2:29,17:06,148.6,1026,NA
C,3rd Battalion,Sharpshooter,30,173rd Airborne Brigade,E5,Enlisted,31B,31B,Admin,S,17.5,36-40,F,66,162,TRUE,29.7,FALSE,330,60,90,60,60,NA,1:50,110,187,60,57,2:34,19:41,154.3,1181,NA
