Group,Year,Month,DayOfWeek,Wounded,Killed,Weapon,Region,Country,Target,MaleAttackers,FemaleAttackers
Hamas,1994,4,3,150,9,Car bomb,Asia,Israel,Civilian,1,0
Unknown Group,2007,12,6,44,11,Truck bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,9,4,2,0,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2008,9,1,0,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2015,7,3,8,6,Truck bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,5,4,0,27,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2009,11,1,63,35,Motorcycle bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2017,8,3,4,2,Truck bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2014,12,3,15,10,Belt bomb,Asia,Afghanistan,Civilian,1,0
Taliban (IEA),2009,8,2,55,10,Car bomb,Asia,Afghanistan,Security,1,0
Islamic State,2015,4,5,0,0,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2002,12,4,3,1,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2008,3,2,0,4,Car bomb,Asia,Pakistan,Political,1,0
Unknown Group,2007,2,3,4,2,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2008,9,7,15,2,Car bomb,Asia,Afghanistan,Political,1,0
Ansar al-Sunna,2003,12,4,14,1,Car bomb,Asia,Iraq,Security,3,0
Boko Haram (Shekau Faction),2016,12,1,12,0,Belt bomb,Africa,Nigeria,Civilian,0,1
Unknown Group,2014,7,2,0,1,Turban bomb,Asia,Afghanistan,Political,1,0
Unknown Group,2006,4,3,1,0,Other PBIED,Asia,China,Political,1,0
Unknown Group,2012,4,4,2,2,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2011,6,2,2,2,Belt bomb,Asia,Afghanistan,Political,1,0
Unknown Group,2017,1,6,0,2,Belt bomb,Africa,Nigeria,Security,0,2
Jemaah Islamiya,2009,7,5,25,2,Belt bomb,Asia,Indonesia,Civilian,1,0
Palestinian Islamic Jihad,2002,4,5,2,0,Car bomb,Asia,Palestine,Security,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2013,1,1,0,42,Car bomb,Asia,Syria,Security,1,0
Taliban (IEA),2010,1,2,16,0,Car bomb,Asia,Afghanistan,Security,1,0
Syrian Social Nationalist Party,1985,11,1,15,15,Car bomb,Asia,Lebanon,Security,1,0
Al-Qaeda in Iraq,2006,9,7,5,2,Car bomb,Asia,Iraq,Security,1,0
Mujahideen Shura Council Iraq,2006,9,7,5,2,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2009,12,1,150,61,Belt bomb,Asia,Pakistan,Civilian,2,0
Palestinian Islamic Jihad,2005,12,1,50,10,Belt bomb,Asia,Israel,Civilian,1,0
Unknown Group,2016,11,6,0,0,Unspecified PBIED,Asia,Pakistan,Security,1,0
Unknown Group,2011,6,6,3,2,Cart bomb,Asia,Afghanistan,Civilian,1,0
Taliban (IEA),2010,3,3,4,5,Truck bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2007,9,3,0,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2008,10,3,0,3,Truck bomb,Africa,Somalia,Political,1,0
Unknown Group,2013,5,4,12,4,Belt bomb,Asia,Afghanistan,Political,1,0
Lebanese National Resistance Front,1984,6,6,5,0,Car bomb,Asia,Lebanon,Security,1,0
Unknown Group,2014,5,2,6,4,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2006,8,1,10,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2008,11,4,40,12,Belt bomb,Europe,Russia,Civilian,0,1
Unknown Group,2008,8,3,14,3,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2012,9,7,48,3,Car bomb,Africa,Nigeria,Civilian,1,0
Tehrik-i-Taliban Pakistan,2016,1,5,6,0,Car bomb,Asia,Pakistan,Civilian,1,0
Unknown Group,2008,12,4,7,0,Car bomb,Asia,Iraq,Security,1,0
Jama'at Al-Tawhid Wa'al-Jihad,2004,9,7,0,0,Car bomb,Asia,Iraq,Security,1,0
Islamic State,2015,12,6,34,16,Belt bomb,Asia,Syria,Civilian,1,0
Unknown Group,2010,1,6,25,16,Belt bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2006,3,7,0,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2019,2,1,3,3,Belt bomb,Africa,Egypt,Security,1,0
Palestinian Islamic Jihad,1995,4,7,45,7,Car bomb,Asia,Palestine,Civilian,1,0
Taliban (IEA),2010,7,6,25,4,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,7,1,150,75,Truck bomb,Asia,Iraq,Political,1,0
Liberation Tigers of Tamil Eelam,1995,4,3,22,16,Scuba bomb,Asia,Sri Lanka,Security,2,2
Unknown Group,2010,2,6,4,1,Belt bomb,Asia,Pakistan,Security,1,0
Unknown Group,2012,11,1,4,0,Belt bomb,Asia,Pakistan,Political,0,1
Unknown Group,2016,3,7,3,2,Unspecified,Asia,Syria,Civilian,0,1
Unknown Group,2011,7,4,17,4,Turban bomb,Asia,Afghanistan,Political,1,0
Mujahideen Shura Council Iraq,2006,8,3,10,1,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2017,11,1,7,3,Other PBIED,Africa,Cameroon,Civilian,1,0
Unknown Group,2009,2,1,19,5,Car bomb,Asia,Pakistan,Security,1,0
Unknown Group,2006,9,4,2,1,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2009,5,1,15,10,Car bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2012,6,5,0,0,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2014,10,7,12,5,Belt bomb,Europe,Russia,Security,1,0
Unknown Group,2014,7,1,6,0,Belt bomb,Africa,Nigeria,Civilian,0,1
Unknown Group,2006,8,7,0,0,Belt bomb,Asia,Pakistan,Civilian,1,0
Taliban (IEA),2011,6,7,11,3,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2017,1,2,0,1,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2017,5,7,16,10,Belt bomb,Asia,Iraq,Political,1,0
Unknown Group,2009,9,4,5,0,Motorcycle bomb,Asia,Iraq,Security,1,0
Unknown Group,2010,9,4,6,3,Belt bomb,Asia,Iraq,Security,1,0
Al-Qaeda in Iraq,2006,8,2,37,14,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,9,1,30,18,Belt bomb,Asia,Iraq,Political,1,0
Unknown Group,2012,3,5,7,0,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Liberation Tigers of Tamil Eelam,1996,10,5,0,12,Boat bomb,Asia,Sri Lanka,Security,2,0
Islamic State,2017,9,4,33,22,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2008,1,7,9,4,Belt bomb,Asia,Iraq,Security,1,0
Jaish al-Fatah,2016,10,5,0,3,Car bomb,Asia,Syria,Security,1,0
Liberation Tigers of Tamil Eelam,2001,10,1,0,3,Belt bomb,Asia,Sri Lanka,Political,1,0
Unknown Group,2019,8,5,4,0,Unspecified PBIED,Asia,Afghanistan,Civilian,1,0
Unknown Group,2017,9,2,3,5,Unspecified PBIED,Africa,Nigeria,Civilian,0,1
Taliban (IEA),2014,1,7,20,2,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2011,9,2,0,0,Other PBIED,Asia,Afghanistan,Security,1,0
Liberation Tigers of Tamil Eelam,2000,3,4,2,1,Belt bomb,Asia,Sri Lanka,Security,0,1
Taliban (IEA),2009,7,6,3,3,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,4,6,52,30,Belt bomb,Asia,Pakistan,Political,1,0
Al-Qaeda in Iraq,2004,9,5,23,5,Car bomb,Asia,Iraq,Security,1,0
Al-Qaeda in the Arabian Peninsula,2012,8,6,16,20,Car bomb,Asia,Yemen,Security,1,0
Unknown Group,2010,10,5,35,20,Belt bomb,Asia,Afghanistan,Political,1,0
Tehrik-i-Taliban Pakistan,2010,7,1,23,8,Belt bomb,Asia,Pakistan,Political,1,0
Unknown Group,2008,5,6,12,10,Belt bomb,Asia,Iraq,Security,1,0
Islamic State,2019,1,2,7,5,Belt bomb,Asia,Syria,Security,0,1
Al-Aqsa Martyrs Brigade,2004,3,7,20,11,Belt bomb,Asia,Israel,Civilian,2,0
Hamas,2004,3,7,20,11,Belt bomb,Asia,Israel,Civilian,2,0
Islamic State,2015,7,5,140,120,Truck bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2010,4,2,24,5,Belt bomb,Asia,Afghanistan,Security,1,0
Tehrik-i-Taliban Pakistan,2010,7,5,111,106,Car bomb,Asia,Pakistan,Political,2,0
Caucasus Emirate,2011,1,1,180,36,Belt bomb,Europe,Russia,Civilian,1,0
Islamic State of Iraq,2007,3,2,270,118,Belt bomb,Asia,Iraq,Civilian,2,0
Taliban (IEA),2010,12,7,20,8,Belt bomb,Asia,Afghanistan,Security,1,0
Believing Youth Group,2008,7,6,12,6,Other PBIED,Asia,Yemen,Political,1,0
Taliban (IEA),2007,5,3,7,3,Belt bomb,Asia,Afghanistan,Civilian,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2015,3,1,0,0,Car bomb,Asia,Syria,Security,1,0
Taliban (IEA),2012,12,7,0,5,Car bomb,Asia,Afghanistan,Security,2,0
Unknown Group,2008,4,7,14,3,Car bomb,Asia,Iraq,Security,0,1
Unknown Group,2011,6,6,25,4,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2017,1,3,2,1,Unspecified PBIED,Africa,Nigeria,Security,1,1
Unknown Group,2007,10,1,8,6,Truck bomb,Asia,Iraq,Security,1,0
Boko Haram,2014,11,7,65,13,Belt bomb,Africa,Nigeria,Civilian,0,1
Al-Qaeda in Iraq,2004,9,6,53,23,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2008,10,3,0,3,Car bomb,Africa,Somalia,Political,1,0
Al-Aqsa Martyrs Brigade,2002,5,3,51,2,Belt bomb,Asia,Israel,Civilian,1,0
Unknown Group,2007,11,3,6,6,Car bomb,Asia,Iraq,Political,1,0
Islamic State,2016,10,1,0,20,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2015,12,7,100,25,Belt bomb,Africa,Nigeria,Civilian,0,3
Boko Haram (Shekau Faction),2019,3,2,2,3,Belt bomb,Africa,Niger,Civilian,0,1
Hamas,2003,5,6,1,2,Belt bomb,Asia,Palestine,Civilian,1,0
Al-Qaeda in the Land of the Islamic Maghreb,2007,9,6,60,30,Truck bomb,Africa,Algeria,Security,1,0
Unknown Group,2008,12,1,30,15,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2016,4,1,0,0,Unspecified PBIED,Europe,Russia,Security,3,0
Unknown Group,2008,7,7,50,21,Car bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2008,7,7,40,25,Car bomb,Asia,Afghanistan,Security,1,0
Islamic State,2015,4,6,6,2,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2008,7,1,141,40,Car bomb,Asia,Afghanistan,Political,1,0
Unknown Group,2006,10,2,19,15,Car bomb,Asia,Iraq,Civilian,1,0
Islamic Movement of Uzbekistan,2004,7,5,9,1,Belt bomb,Asia,Uzbekistan,Political,1,0
Islamic State - Khorasan Province,2018,3,3,9,1,Belt bomb,Asia,Afghanistan,Political,1,0
Taliban (IEA),2012,6,6,8,5,Belt bomb,Asia,Afghanistan,Security,1,0
Al-Qaeda in Iraq,2004,10,3,4,0,Car bomb,Asia,Iraq,Security,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2012,4,5,0,0,Car bomb,Asia,Syria,Security,1,0
Unknown Group,2018,3,5,7,1,Belt bomb,Africa,Nigeria,Civilian,0,1
Unknown Group,2007,6,7,7,2,Car bomb,Asia,Iraq,Civilian,1,0
Al-Shabaab,2011,6,4,4,1,Belt bomb,Africa,Somalia,Political,2,0
Islamic State,2017,4,5,6,4,Car bomb,Asia,Iraq,Security,1,0
Al-Aqsa Martyrs Brigade,2002,3,7,6,0,Belt bomb,Asia,Palestine,Civilian,1,0
Riyadus Salikhiin,2011,2,1,4,1,Car bomb,Europe,Russia,Security,1,0
Palestinian Islamic Jihad,2002,9,3,5,1,Car bomb,Asia,Israel,Security,1,0
Taliban (IEA),2006,6,2,3,0,Car bomb,Asia,Afghanistan,Security,1,0
Liberation Tigers of Tamil Eelam,2007,3,6,3,2,Other PBIED,Asia,Sri Lanka,Security,1,0
Taliban (IEA),2009,9,3,3,1,Car bomb,Asia,Afghanistan,Security,1,0
Palestinian Islamic Jihad,1993,12,1,3,0,Car bomb,Asia,Palestine,Security,1,0
Taliban (IEA),2006,10,5,10,1,Belt bomb,Asia,Afghanistan,Security,1,0
Al-Aqsa Martyrs Brigade,2002,2,1,2,1,Car bomb,Asia,Israel,Security,1,0
Islamic State of Iraq,2012,12,1,20,4,Car bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2012,11,3,32,8,Belt bomb,Asia,Pakistan,Security,1,0
Hamas,2001,6,5,0,3,Car bomb,Asia,Palestine,Security,1,0
Unknown Group,2008,4,3,6,2,Other PBIED,Asia,Iraq,Security,1,0
Lebanese National Resistance Front,1985,5,4,0,2,Car bomb,Asia,Lebanon,Security,0,1
Unknown Group,2008,3,5,6,1,Belt bomb,Asia,Iraq,Security,1,0
Islamic State - Khorasan Province,2018,3,5,21,10,Unspecified PBIED,Asia,Afghanistan,Political,1,0
Unknown Group,2007,12,7,7,2,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2006,7,1,9,3,Belt bomb,Asia,Afghanistan,Political,1,0
Unknown Group,2018,1,3,25,15,Belt bomb,Africa,Nigeria,Civilian,1,0
Unknown Group,2016,3,4,5,4,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2015,10,3,3,15,Belt bomb,Africa,Nigeria,Civilian,0,1
Riyadus Salikhiin,2003,9,1,40,3,Truck bomb,Europe,Russia,Security,1,1
Taliban (IEA),2006,8,4,1,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2006,3,2,0,0,Belt bomb,Asia,Afghanistan,Political,1,0
Liberation Tigers of Tamil Eelam,2008,10,4,0,0,Boat bomb,Asia,Sri Lanka,Security,1,1
Unknown Group,2009,2,4,15,15,Belt bomb,Asia,Iraq,Civilian,1,0
Chechen Republic of Ichkeria,2000,6,1,6,6,Car bomb,Europe,Russia,Security,1,0
Unknown Group,2016,12,6,1,0,Belt bomb,Africa,Nigeria,Civilian,0,1
Taliban (IEA),2007,6,4,8,1,Car bomb,Asia,Afghanistan,Security,1,0
Boko Haram (Shekau Faction),2016,12,7,3,0,Belt bomb,Africa,Nigeria,Security,0,1
Islamic State West Africa Province,2015,6,1,50,12,Motorcycle bomb,Africa,Chad,Security,3,0
Unknown Group,2003,9,2,51,3,Car bomb,Asia,Iraq,Security,1,0
Islamic State,2017,6,1,0,1,Belt bomb,Asia,Iraq,Civilian,1,0
Ansar al-Sunna,2005,1,1,25,3,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2016,9,6,9,2,Belt bomb,Asia,Iraq,Civilian,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2014,8,5,0,4,Belt bomb,Asia,Syria,Security,2,0
Taliban (IEA),2011,8,2,10,4,Car bomb,Asia,Afghanistan,Security,1,0
Palestinian Islamic Jihad,2003,6,4,0,1,Belt bomb,Asia,Israel,Civilian,1,0
Unknown Group,2007,4,6,50,40,Car bomb,Asia,Iraq,Civilian,1,0
Mujahideen Shura Council Iraq,2009,5,5,5,3,Belt bomb,Europe,Russia,Political,1,0
Unknown Group,2009,9,7,4,0,Car bomb,Asia,Pakistan,Security,1,0
Unknown Group,2009,4,4,52,38,Belt bomb,Asia,Iraq,Security,0,1
Unknown Group,2008,2,6,34,3,Car bomb,Asia,Pakistan,Security,1,0
Unknown Group,2017,7,4,42,15,Belt bomb,Africa,Cameroon,Civilian,0,2
Unknown Group,2010,7,7,6,2,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2013,12,4,25,8,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2012,11,6,5,6,Belt bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2005,11,6,0,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2012,1,2,2,2,Belt bomb,Asia,Afghanistan,Political,2,0
Unknown Group,2016,11,5,0,0,Belt bomb,Africa,Nigeria,Political,1,1
Islamic State,2014,10,6,4,1,Car bomb,Asia,Iraq,Security,1,0
Syrian Social Nationalist Party,1985,7,2,6,17,Car bomb,Asia,Lebanon,Security,1,0
Taliban (IEA),2008,6,7,1,3,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,1,2,57,23,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2011,9,7,22,0,Belt bomb,Asia,Indonesia,Civilian,1,0
Riyadus Salikhiin,2009,8,1,138,20,Truck bomb,Europe,Russia,Security,1,0
Taliban (IEA),2012,8,2,13,0,Truck bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,2,5,8,1,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2008,10,7,12,11,Car bomb,Asia,Pakistan,Security,1,0
Al-Shabaab,2011,10,6,2,10,Car bomb,Africa,Somalia,Security,2,0
Taliban (IEA),2015,5,1,11,2,Belt bomb,Asia,Afghanistan,Civilian,1,0
Tehrik-i-Taliban Pakistan,2012,3,5,20,23,Belt bomb,Asia,Pakistan,Security,1,0
Unknown Group,2017,4,1,2,3,Cart bomb,Africa,Nigeria,Security,1,0
Hamas,2003,2,3,0,4,Belt bomb,Asia,Palestine,Security,1,0
Al-Qaeda in Iraq,2005,1,2,0,0,Car bomb,Asia,Iraq,Political,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2011,12,5,83,22,Car bomb,Asia,Syria,Security,0,1
Islamic State,2014,12,5,0,32,Car bomb,Asia,Syria,Security,1,0
Taliban (IEA),2007,1,2,14,10,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2008,8,4,75,22,Belt bomb,Asia,Iraq,Civilian,0,1
Unknown Group,2007,6,2,15,4,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,10,2,75,4,Truck bomb,Asia,Iraq,Security,1,0
Unknown Group,2011,4,5,10,3,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2007,5,7,30,10,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,1,5,3,7,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2008,10,6,0,0,Belt bomb,Asia,Iraq,Security,0,1
Unknown Group,2009,3,3,12,3,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2017,7,1,11,7,Belt bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2010,9,6,4,7,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2018,1,6,0,3,Belt bomb,Asia,Iraq,Political,1,0
Liberation Tigers of Tamil Eelam,1998,2,4,15,8,Belt bomb,Asia,Sri Lanka,Security,0,1
Al-Aqsa Martyrs Brigade,2003,5,4,0,0,Car bomb,Asia,Palestine,Security,1,0
Al-Qaeda in Iraq,2005,2,6,0,4,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2015,5,1,73,5,Truck bomb,Asia,Afghanistan,Political,1,0
Unknown Group,2015,7,2,0,4,Belt bomb,Africa,Nigeria,Security,0,1
Unknown Group,2008,5,3,3,4,Belt bomb,Asia,Iraq,Security,0,1
Taliban (IEA),2007,2,7,0,0,Car bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2007,3,1,8,1,Car bomb,Asia,Afghanistan,Political,1,0
Unknown Group,2006,9,1,63,7,Belt bomb,Asia,Afghanistan,Political,1,0
Unknown Group,2006,11,7,24,3,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2009,7,4,29,6,Motorcycle bomb,Asia,Pakistan,Political,1,0
Unknown Group,2008,12,1,36,7,Other PBIED,Asia,Afghanistan,Security,1,0
Taliban (IEA),2010,10,4,6,1,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,6,2,15,18,Truck bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2009,1,4,10,4,Belt bomb,Asia,Afghanistan,Security,1,0
Ansar al-Sunna,2004,2,7,267,46,Belt bomb,Asia,Iraq,Political,1,0
Al-Qaeda in Iraq,2005,9,3,53,6,Belt bomb,Asia,Iraq,Security,0,1
Islamic State of Iraq,2008,4,2,6,2,Belt bomb,Asia,Iraq,Political,0,1
Islamic State,2014,8,6,3,7,Car bomb,Asia,Syria,Civilian,1,0
Unknown Group,2007,4,5,4,4,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2005,10,4,11,10,Belt bomb,Asia,Iraq,Civilian,1,0
Al-Qaeda in Iraq,2005,4,4,25,14,Car bomb,Asia,Iraq,Security,2,0
Islamic State,2018,6,3,0,6,Car bomb,Asia,Syria,Security,1,0
Unknown Group,2010,6,2,0,0,Belt bomb,Asia,Afghanistan,Political,3,0
Unknown Group,2014,6,4,0,1,Belt bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2016,5,3,4,11,Belt bomb,Asia,Afghanistan,Political,1,0
Unknown Group,2008,1,2,15,0,Car bomb,Asia,Iraq,Security,1,0
Jamaah Ansharut Daulah,2017,5,3,12,3,Backpack bomb,Asia,Indonesia,Civilian,2,0
Unknown Group,2008,5,4,16,10,Car bomb,Asia,Iraq,Security,1,0
Islamic State - Khorasan Province,2018,7,5,250,149,Unspecified,Asia,Pakistan,Political,1,0
Unknown Group,2012,6,3,8,2,Belt bomb,Asia,Afghanistan,Civilian,1,0
Ansar al-Sunna,2003,12,3,101,4,Car bomb,Asia,Iraq,Political,1,0
Hamas,2003,5,7,0,0,Belt bomb,Asia,Israel,Security,1,0
Islamic State,2017,6,3,3,1,Belt bomb,Asia,Iran,Political,1,0
Unknown Group,2007,7,5,53,16,Other PBIED,Asia,Pakistan,Security,1,0
Unknown Group,2010,1,6,7,0,Belt bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2019,9,4,185,41,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2008,6,4,5,1,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2012,3,2,60,13,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2011,8,6,22,4,Car bomb,Asia,Afghanistan,Political,1,0
Hamas,1994,4,3,25,6,Belt bomb,Asia,Israel,Civilian,1,0
Taliban (IEA),2009,10,5,3,6,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,1,2,10,0,Car bomb,Asia,Iraq,Political,1,0
Unknown Group,2014,2,4,5,7,Car bomb,Asia,Iraq,Security,1,0
Liberation Tigers of Tamil Eelam,2001,10,2,0,4,Boat bomb,Asia,Sri Lanka,Security,2,2
Islamic State of Iraq and Syria,2014,5,5,8,4,Car bomb,Asia,Iraq,Security,1,0
Palestinian Islamic Jihad,2001,8,7,16,0,Belt bomb,Asia,Israel,Civilian,1,0
Unknown Group,2004,3,2,7,0,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2012,11,4,9,7,Motorcycle bomb,Asia,Pakistan,Security,1,0
Unknown Group,2015,4,3,17,8,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2010,5,4,10,1,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,8,3,35,16,Motorcycle bomb,Asia,Iraq,Security,1,0
Hamas,2001,3,2,37,0,Belt bomb,Asia,Israel,Civilian,1,0
Unknown Group,2009,10,7,4,9,Motorcycle bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,9,7,7,2,Car bomb,Asia,Iraq,Security,1,0
Islamic State - Khorasan Province,2019,7,4,21,7,Car bomb,Asia,Afghanistan,Political,1,0
Taliban (IEA),2019,7,4,21,7,Car bomb,Asia,Afghanistan,Political,1,0
Taliban (IEA),2016,1,7,14,14,Belt bomb,Asia,Afghanistan,Political,1,0
Unknown Group,2015,6,2,51,2,Truck bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,9,2,5,2,Car bomb,Asia,Afghanistan,Security,1,0
Arab Socialist Ba'ath Party - Lebanon,1985,9,2,7,0,Car bomb,Asia,Lebanon,Security,1,0
Liberation Tigers of Tamil Eelam,1990,7,4,0,6,Boat bomb,Asia,Sri Lanka,Security,4,0
Islamic State,2016,11,7,41,30,Unspecified,Asia,Syria,Security,1,0
Unknown Group,2008,8,2,45,28,Car bomb,Asia,Iraq,Security,1,0
Al-Qaeda in the Land of the Islamic Maghreb,2008,1,2,20,4,Car bomb,Africa,Algeria,Security,1,0
Islamic State,2016,5,2,35,21,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2007,1,3,12,0,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2003,7,6,60,17,Belt bomb,Europe,Russia,Civilian,0,2
Unknown Group,2006,7,1,6,1,Car bomb,Asia,Afghanistan,Political,1,0
Tehrik-i-Taliban Pakistan,2010,8,3,11,5,Belt bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2018,8,3,57,37,Belt bomb,Asia,Afghanistan,Civilian,1,0
Islamic State - Khorasan Province,2018,8,3,57,37,Belt bomb,Asia,Afghanistan,Civilian,1,0
Hamas,2000,12,5,9,1,Belt bomb,Asia,Palestine,Civilian,1,0
Unknown Group,2008,9,1,33,22,Belt bomb,Asia,Iraq,Security,0,1
Islamic State - Khorasan Province,2018,4,7,120,69,Belt bomb,Asia,Afghanistan,Political,1,0
Taliban (IEA),2018,4,7,120,69,Belt bomb,Asia,Afghanistan,Political,1,0
Islamic State of Iraq,2008,8,3,5,0,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2008,7,6,4,3,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,4,2,5,0,Belt bomb,Africa,Morocco,Security,1,0
Boko Haram (Shekau Faction),2017,1,2,0,1,Belt bomb,Africa,Nigeria,Civilian,1,0
Tehrik-i-Taliban Pakistan,2016,1,5,7,0,Car bomb,Asia,Pakistan,Security,1,0
Unknown Group,2007,6,6,0,1,Belt bomb,Asia,Iraq,Security,1,0
Al-Shabaab,2015,4,1,4,7,Belt bomb,Africa,Somalia,Political,1,0
Taliban (IEA),2006,5,2,1,1,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2012,7,1,40,42,Belt bomb,Asia,Iraq,Security,1,0
Islamic State West Africa Province,2015,7,5,11,10,Motorcycle bomb,Africa,Nigeria,Civilian,0,1
Unknown Group,2004,2,1,45,10,Car bomb,Asia,Iraq,Security,1,0
Islamic State,2018,4,1,7,2,Belt bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2018,1,6,235,103,Truck bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2019,10,6,2,0,Unspecified PBIED,Asia,Afghanistan,Security,1,0
Jemaah Islamiya,2005,10,6,41,6,Belt bomb,Asia,Indonesia,Civilian,1,0
Taliban (IEA),2011,2,1,40,33,Belt bomb,Asia,Afghanistan,Political,1,0
Ansar al-Sunna,2005,1,3,13,6,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2010,9,6,13,3,Car bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2009,9,6,3,2,Belt bomb,Asia,Afghanistan,Security,2,0
Unknown Group,2005,9,3,4,0,Belt bomb,Asia,Pakistan,Civilian,1,0
Unknown Group,2007,6,5,5,10,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2012,5,5,3,0,Motorcycle bomb,Asia,Afghanistan,Security,1,0
